"center_id","name","parent_place","phone","address","lat","lng","center_role","type","coverage_scope","detail_location","operating_hours","handoff_available","inquiry_available","website","source_type","source_url","verification_status","verified_at","confidence_score","partner_status","notes"
"dongyang_student_service_lost","동양미래대학교 학생서비스센터 분실/습득물 신고 접수","동양미래대학교","02-2610-1714; 02-2610-1716","서울 구로구 경인로 445","37.5000530744517","126.86799268384159","primary","student_service_lost_center","campus_wide","학생서비스센터/학생지원팀, 1호관 4층 확인 필요","확인 필요","yes","yes","https://www.dongyang.ac.kr/dongyang/1923/subview.do","official_college_page","https://www.dongyang.ac.kr/dongyang/1923/subview.do","official_verified","2026-08-05","95","non_partner","공식 본부 주요업무에서 민원 편의지원 업무로 분실/습득물 신고 접수와 연락처 확인. 시설물 신청 페이지에서 학생서비스센터 1호관 4층 단서 확인."
"mju_humanities_lost_board","명지대학교 분실물센터 게시판","명지대학교","02-300-1521~6; 02-300-1431~2","서울 서대문구 거북골로 34","37.5802796189737","126.922565990238","online_board","official_lost_board","campus_wide","인문캠퍼스 종합관 2층 인문학생지원팀 확인 필요","확인 필요","unknown","yes","https://www.mju.ac.kr/mjukr/323/subview.do","official_university_board","https://www.mju.ac.kr/mjukr/323/subview.do","official_board_verified","2026-08-05","80","non_partner","공식 분실물센터 게시판은 확인됨. 물리 보관·수령 위치는 학생처 페이지의 인문학생지원팀 위치와 전화 기준으로 추정하므로 전화 확인 권장."
"mjc_student_service_lost","명지전문대학 학생서비스센터 분실물/습득물접수","명지전문대학","02-300-1012","서울 서대문구 가좌로 134","37.5846910900534","126.925693019531","primary","student_service_lost_center","campus_wide","학생서비스센터, 상세 위치 확인 필요","확인 필요","yes","yes","https://www.mjc.ac.kr/bbs/data/list.do?menu_idx=138","official_college_page","https://www.mjc.ac.kr/bbs/data/list.do?menu_idx=138","official_verified","2026-08-05","95","non_partner","공식 분실물/습득물접수 페이지에서 신고·검색과 학생서비스센터 문의 전화 확인."
"baewha_student_affairs_lost","배화여자대학교 학생지원처 분실물센터","배화여자대학교","02-399-0733","서울 종로구 필운대로1길 34","37.5791560321644","126.966612333036","primary","student_affairs_lost_center","campus_wide","기념관 1층 학생지원처","확인 필요","yes","yes","https://www.baewha.ac.kr/contents/contents.do?ciIdx=1195&menuId=2928","official_college_faq","https://www.baewha.ac.kr/contents/contents.do?ciIdx=1195&menuId=2928","official_verified","2026-08-05","100","non_partner","공식 FAQ에서 분실물센터 위치, 접수 방식, 홈페이지 등록 처리, 전화번호 확인."
"syu_student_welfare_lost","삼육대학교 학생복지팀 분실물관리","삼육대학교","02-3399-3226","서울 노원구 화랑로 815","37.6427147543304","127.107114583975","primary","student_welfare_lost_center","campus_wide","바울관 1층 106호 학생처/학생복지팀","확인 필요","yes","yes","https://www.syu.ac.kr/about-sahmyook/organization-department/administrative-organizations/student-affairs-jobs-in-charge/","official_university_page","https://www.syu.ac.kr/about-sahmyook/organization-department/administrative-organizations/student-affairs-jobs-in-charge/","official_verified","2026-08-05","95","non_partner","공식 담당업무 페이지에서 학생복지팀 분실물 관리와 담당 전화 확인. 과거 공식 분실물 처리 안내에서 바울관 1층 106호 방문 수령 확인."
"sangmyung_student_welfare_candidate","상명대학교 학생복지팀 분실물 문의 후보","상명대학교","02-2287-5015; 02-2287-6454","서울 종로구 홍지문2길 20","37.6020622894707","126.954176974986","candidate_needs_call","student_welfare_contact_candidate","campus_wide","학생회관 H211 학생복지팀","확인 필요","unknown","yes","https://www.smu.ac.kr/kor/life/studentIdCard.do","official_university_page","https://www.smu.ac.kr/kor/life/studentIdCard.do","needs_phone_verification","2026-08-05","55","non_partner","공식 학생증 페이지에서 학생복지팀 전화 확인, 별도 연락처 PDF에서 학생회관 H211 단서 확인. 분실물 담당 여부는 전화 확인 필요."
"sogang_onestop_service_room","서강대학교 종합봉사실","서강대학교","02-705-8000~8003","서울 마포구 서강대길 17","37.5510416710319","126.940066920113","primary","university_onestop_service_room","campus_wide","본관 106호","확인 필요","yes","yes","https://www.sogang.ac.kr/ko/service-room","official_university_page","https://www.sogang.ac.kr/ko/service-room","official_verified","2026-08-05","95","non_partner","공식 종합봉사실 정보에서 위치, 전화, 종합봉사실 업무 내 습득물 관리 확인. 운영시간은 별도 확인 필요."
"seoultech_lost_center_student_affairs","서울과학기술대학교 유실물센터","서울과학기술대학교","02-970-6051~55","서울 노원구 공릉로 232","37.6307753122984","127.079210606591","primary","university_lost_center","campus_wide","제2학생회관 2층 학생지원과 장학복지팀","확인 필요","yes","yes","https://www.seoultech.ac.kr/service/lostproperty/intro","official_university_page","https://www.seoultech.ac.kr/service/lostproperty/intro","official_verified","2026-08-05","100","non_partner","공식 유실물센터 운영안내에서 문의처, 보관장소, 물품별 처리기준 확인."
"snue_lost_report_board","서울교육대학교 학생서비스센터 분실물습득신고","서울교육대학교","02-3475-2114","서울 서초구 서초중앙로 96","37.4895246297435","127.015007158295","online_board","official_lost_report_board","campus_wide","학생서비스센터, 상세 위치 확인 필요","확인 필요","unknown","yes","https://www.snue.ac.kr/snue/na/ntt/selectNttList.do?bbsId=3010&mi=1308","official_university_board","https://www.snue.ac.kr/snue/na/ntt/selectNttList.do?bbsId=3010&mi=1308","official_board_verified","2026-08-05","75","non_partner","공식 SNUE생활 학생서비스센터 하위에 분실물습득신고 게시판 확인. 물리 보관 위치와 담당 직통번호는 확인 필요."
"snu_gwanak_lost_center_safety","서울대학교 관악캠퍼스 분실물센터","서울대학교","02-880-8112","서울 관악구 관악로 1","37.4616201751684","126.951039149586","primary","campus_safety_lost_center","campus_wide","문화관 구 청원경찰실, 캠퍼스안전반 사무실","확인 필요","yes","yes","https://biosci.snu.ac.kr/board/notice?bbsidx=21543&bm=v","official_university_notice","https://biosci.snu.ac.kr/board/notice?bbsidx=21543&bm=v","official_verified","2026-08-05","95","non_partner","서울대 공식 학부 공지에서 마이스누 분실물게시판, 캠퍼스안전반 분실물센터 전화, 문화관 내 수령 장소 확인."
"uos_student_affairs_lost","서울시립대학교 학생과","서울시립대학교","02-6490-6260~6261","서울 동대문구 서울시립대로 163","37.58387385674104","127.06012355495912","primary","student_affairs_lost_center","campus_wide","학생회관 2층","확인 필요","yes","yes","https://www.uos.ac.kr/kor/html/auos/organization/center/center4.do?identified=anonymous","official_university_page","https://www.uos.ac.kr/kor/html/auos/organization/center/center4.do?identified=anonymous","official_verified","2026-08-05","95","non_partner","공식 대학기구 학생과 안내에서 분실물, 습득물 접수처리 업무, 위치, 연락처 확인."
"swu_lost_board_student_support_candidate","서울여자대학교 분실물/습득물 게시판 및 학생지원팀","서울여자대학교","02-970-5064","서울 노원구 화랑로 621","37.6286336059888","127.090568473903","candidate_needs_call","student_support_lost_candidate","campus_wide","학생누리관 2층 학생지원팀","확인 필요","unknown","yes","https://www.swu.ac.kr/swu/591/subview.do","official_university_page","https://www.swu.ac.kr/swu/591/subview.do","needs_phone_verification","2026-08-05","60","non_partner","공식 분실물/습득물 페이지와 공식 전화번호 안내에서 학생지원팀 연락처 확인. 실제 보관 위치와 현재 운영 절차는 전화 확인 필요."
"skhu_student_welfare_candidate","성공회대학교 학생복지처 분실물 문의 후보","성공회대학교","02-2610-4114","서울 구로구 연동로 320","37.4874726441956","126.825825911251","candidate_needs_call","student_welfare_contact_candidate","campus_wide","승연관 2층 학생복지처 확인 필요","확인 필요","unknown","yes","https://www.skhu.ac.kr/skhu/5977/subview.do","official_university_page","https://www.skhu.ac.kr/skhu/5977/subview.do","needs_phone_verification","2026-08-05","50","non_partner","공식 학생복지/활동 페이지와 생활관 분실물확인 게시판은 확인되지만 캠퍼스 전체 분실물센터는 확인 필요."
"skku_student_support_seoul","성균관대학교 학생지원팀 인문사회과학캠퍼스","성균관대학교","02-760-1077","서울 종로구 성균관로 25-2","37.587380383101475","126.99438986529432","primary","student_support_lost_center","campus_wide","600주년기념관 1층","평일 09:00~17:30","yes","yes","https://www.skku.edu/skku/campus/support/lost_and_found.do","official_university_page","https://www.skku.edu/skku/campus/support/lost_and_found.do","official_verified","2026-08-05","100","non_partner","공식 유실물찾기 페이지에서 유실물 접수 절차, 학생지원팀 이관, 위치, 전화, 운영시간 확인."
"sungshin_unjeong_lost","성신여자대학교 운정캠퍼스통합지원팀 유실물관리","성신여자대학교","02-920-7885","서울 강북구 도봉로76가길 55","37.632018693517864","127.0272291016319","primary","campus_integrated_support_lost_center","campus_wide","B동 105호","확인 필요","yes","yes","https://www.sungshin.ac.kr/main_kor/20807/subview.do","official_university_page","https://www.sungshin.ac.kr/main_kor/20807/subview.do","official_verified","2026-08-05","100","non_partner","공식 유실물관리 페이지에서 운정캠퍼스 관리부서, 전화, 위치, 접수 및 반환 절차 확인."
"sungshin_sujeong_lost","성신여자대학교 학생지원팀 유실물관리 수정캠퍼스","성신여자대학교","02-920-7011","서울 성북구 보문로34다길 2","37.5916284300888","127.022093071516","primary","student_support_lost_center","campus_wide","성신관 1층 통합사무실","확인 필요","yes","yes","https://www.sungshin.ac.kr/main_kor/20807/subview.do","official_university_page","https://www.sungshin.ac.kr/main_kor/20807/subview.do","official_verified","2026-08-05","100","non_partner","공식 유실물관리 페이지에서 캠퍼스별 관리부서, 전화, 위치, 접수 및 반환 절차 확인."
"sejong_student_support_lost_candidate","세종대학교 학생지원처 분실물 문의 후보","세종대학교","02-3408-3055","서울 광진구 능동로 209","37.5495986004586","127.075114073017","candidate_needs_call","student_support_contact_candidate","campus_wide","학생회관/학생지원처 확인 필요","확인 필요","unknown","yes","https://www.sejong.ac.kr/kor/intro/student-support-office.do","official_university_page","https://www.sejong.ac.kr/kor/intro/student-support-office.do","needs_phone_verification","2026-08-05","50","non_partner","공식 학생지원처 페이지는 확인되지만 분실물 담당 직접 문구는 약함. 학술정보원·총학생회성 분실물 안내가 다수 있어 후보로 보관 후 전화 확인 필요."
"sookmyung_student_support_lost","숙명여자대학교 학생지원센터 분실물","숙명여자대학교","02-710-9815","서울 용산구 청파로47길 100","37.5454547162553","126.965088416999","primary","student_support_lost_center","campus_wide","제1창학캠퍼스 학생회관 305호","확인 필요","yes","yes","https://welfare.sookmyung.ac.kr/welfare/support/lost.do","official_university_page","https://welfare.sookmyung.ac.kr/welfare/support/lost.do","official_verified","2026-08-05","100","non_partner","공식 학생지원센터 분실물 페이지에서 접수, 보관, 게시판 등록, 보관기간, 위치와 전화 확인."
"ssu_primary_student_service_team","숭실대학교 학생처 분실물센터(학생서비스팀)","숭실대학교","02-820-0065; 02-820-0067","서울 동작구 상도로 369","37.49675193536618","126.95697691809838","primary","university_lost_center","campus_wide","학생회관 406호 학생서비스팀","확인 필요","yes","yes","https://scatch.ssu.ac.kr/공지사항/page/8/?category=기타&slug=학생처-분실물-센터-인스타그램-계정-운영-개시-및-이","official_university_notice","https://scatch.ssu.ac.kr/공지사항/page/8/?category=기타&slug=학생처-분실물-센터-인스타그램-계정-운영-개시-및-이","official_verified","2026-08-05","95","non_partner","공식 공지에서 교내 분실물센터 운영 및 학생서비스팀(학생회관 406호) 방문 수령 확인. 전화번호는 숭실대 스마트카드 페이지의 학생서비스팀 연락처 기준."
"ssu_public_guam_jigu","구암지구대","숭실대학교","02-870-0850","서울 관악구 은천로 93","37.4871611068151","126.94490651575671","public_fallback","police_box","near_campus_public","","확인 필요","yes","yes","http://place.map.kakao.com/21267662","kakao_local_api","http://place.map.kakao.com/21267662","fallback_candidate","2026-08-05","70","non_partner","학교 내부 분실물센터가 아니라 공공 fallback. 서비스 화면에서는 학교 내부 후보 아래 별도 섹션으로만 노출."
"sewu_student_service_lost","숭의여자대학교 학생서비스센터 분실물/습득물","숭의여자대학교","02-3708-9396","서울 중구 소파로2길 10","37.5572839134229","126.987469138193","primary","student_service_lost_center","campus_wide","드림스퀘어 학생서비스센터","확인 필요","yes","yes","https://www.sewu.ac.kr/service/intro/center-work.do","official_college_page","https://www.sewu.ac.kr/service/intro/center-work.do","official_verified","2026-08-05","100","non_partner","공식 학생서비스센터 업무 페이지에서 분실물/습득물 신고·접수 담당자와 직통번호 확인."
"yonsei_student_support_candidate","연세대학교 학생복지처 학생지원팀","연세대학교","02-2123-8190","서울 서대문구 연세로 50","37.5634565455903","126.938381831243","candidate_needs_call","student_support_office","campus_wide_candidate","학생회관 218호","확인 필요","unknown","yes","https://www.yonsei.ac.kr/sc/359/subview.do?enc=Zm5jdDF8QEB8JTJGY3JkTG5rJTJGc2MlMkYxNiUyRjI4JTJGdmlldy5kbyUzRg%3D%3D","official_university_page","https://www.yonsei.ac.kr/sc/359/subview.do?enc=Zm5jdDF8QEB8JTJGY3JkTG5rJTJGc2MlMkYxNiUyRjI4JTJGdmlldy5kbyUzRg%3D%3D","needs_phone_verification","2026-08-05","55","non_partner","공식 페이지에서 학생지원팀 위치·전화 확인. 다만 분실물 보관 담당이라는 문구는 확인되지 않아 전화 확인 전에는 대표 센터로 확정하지 않음."
"yonsei_official_lost_board","연세대학교 교내 분실물 게시판","연세대학교","1599-1885","서울 서대문구 연세로 50","37.5634565455903","126.938381831243","online_board","official_lost_found_board","campus_wide_online","온라인 게시판","온라인","unknown","yes","https://www.yonsei.ac.kr/sc/297/subview.do","official_university_page","https://www.yonsei.ac.kr/sc/297/subview.do","official_board_verified","2026-08-05","85","non_partner","공식 홈페이지에 교내 분실물 게시판이 존재하며 분실/습득 게시글이 운영됨. 실제 물리 보관·수령처는 별도 확인 필요."
"yonsei_public_sinchon_jigu","신촌지구대","연세대학교","02-335-8302","서울 서대문구 신촌역로 22","37.558550241684","126.943012589799","public_fallback","police_box","near_campus_public","","확인 필요","yes","yes","http://place.map.kakao.com/9106619","kakao_local_api","http://place.map.kakao.com/9106619","fallback_candidate","2026-08-05","70","non_partner","학교 내부 보관처가 아니라 공공 fallback."
"ewha_student_service_lost","이화여자대학교 학생서비스센터 습득물센터","이화여자대학교","02-3277-2064; 02-3277-3233","서울 서대문구 이화여대길 52","37.56121873625399","126.94630641938139","primary","student_service_lost_center","campus_wide","ECC B303호 학생서비스센터","평일 09:00~17:00, 점심 12:00~13:00","yes","yes","https://cms.ewha.ac.kr/user/indexSub.action?codyMenuSeq=12660197&siteId=onestop","official_university_page","https://cms.ewha.ac.kr/user/indexSub.action?codyMenuSeq=12660197&siteId=onestop","official_verified","2026-08-05","100","non_partner","공식 학생서비스센터 페이지에서 교내 습득물센터 운영, 위치, 전화, 운영시간, 접수/수령 절차 확인."
"cau_student_affairs_lost_candidate","중앙대학교 학생지원처 분실물/습득물 신고센터","중앙대학교","02-820-6050","서울 동작구 흑석로 84","37.50514938189445","126.95717341298158","candidate_needs_call","student_affairs_lost_contact_candidate","campus_wide","정확한 방문 위치 확인 필요","확인 필요","unknown","yes","https://global.cau.ac.kr/kr/student_support/form_data.php?bgu=view&idx=15","official_department_notice","https://global.cau.ac.kr/kr/student_support/form_data.php?bgu=view&idx=15","needs_phone_verification","2026-08-05","60","non_partner","중앙대 지식경영학부 공식 안내에서 학생지원처 분실물/습득물 신고센터 전화 확인. 게시글이 오래되어 현재 운영 위치와 절차는 전화 확인 필요."
"chongshin_social_service_lost_candidate","총신대학교 지역사회봉사센터 습득물관리 후보","총신대학교","확인 필요","서울 동작구 사당로 143","37.48894434956749","126.96707315671416","candidate_needs_call","lost_board_contact_candidate","campus_wide","지역사회봉사센터 확인 필요","확인 필요","unknown","unknown","https://www.cvss.co.kr/bbs/board.php?bo_table=lost","affiliated_center_board","https://www.cvss.co.kr/bbs/board.php?bo_table=lost","needs_phone_verification","2026-08-05","50","non_partner","총신사회봉사센터 습득물 관리 게시판은 확인되지만 대학 공식 도메인이 아니라 대표 센터 여부 확인 필요."
"chugye_student_team_lost","추계예술대학교 학생팀 분실물/습득물","추계예술대학교","02-362-6162~6164","서울 서대문구 북아현로11가길 7","37.562574335157535","126.95388425571609","primary","student_team_lost_board","campus_wide","학생팀, 상세 방문 위치 확인 필요","확인 필요","yes","yes","https://www.chugye.ac.kr/mbs/university/jsp/board/list.jsp?boardId=6818&id=university_050500000000","official_university_board","https://www.chugye.ac.kr/mbs/university/jsp/board/list.jsp?boardId=6818&id=university_050500000000","official_verified","2026-08-05","90","non_partner","공식 대학생활 분실물/습득물 게시판에서 학생팀 작성 게시물 다수 확인. 학생팀 전화는 공식 교학처 학생팀 페이지 기준."
"karts_lost_candidate_seokgwan","한국예술종합학교 분실물 보관 문의 후보","한국예술종합학교","확인 필요","서울 성북구 화랑로32길 146-37","37.60656959296795","127.05697079689453","candidate_needs_call","campus_lost_contact_candidate","campus_wide","석관동캠퍼스, 담당 부서 확인 필요","확인 필요","unknown","unknown","https://www.karts.ac.kr/nri/bbs/NuriBbsDetail.do?bbsId=BBSNURI_001&nttNo=9865180","official_event_notice","https://www.karts.ac.kr/nri/bbs/NuriBbsDetail.do?bbsId=BBSNURI_001&nttNo=9865180","needs_phone_verification","2026-08-05","50","non_partner","공식 공지에서 행사 분실물 보관 사례는 확인되지만 캠퍼스 전체 대표 분실물센터는 확인되지 않음. 서비스 노출 전 대표 부서 확인 필요."
"hufs_onestop_seoul","한국외국어대학교 원스톱서비스센터 서울캠퍼스","한국외국어대학교","02-2173-2151~4","서울 동대문구 이문로 107","37.59635575623338","127.05740122936658","primary","university_onestop_lost_center","campus_wide","국제학사 1층 118호","확인 필요","yes","yes","https://onestop.hufs.ac.kr/onestop/13413/subview.do","official_university_page","https://onestop.hufs.ac.kr/onestop/13413/subview.do","official_verified","2026-08-05","100","non_partner","공식 원스톱서비스센터 페이지에서 습득물 접수, 게시판 공지, 센터 내 보관, 서울캠퍼스 위치와 전화 확인."
"knsu_lost_board_candidate","한국체육대학교 분실물/습득물 게시판","한국체육대학교","02-410-6551~4","서울 송파구 양재대로 1239","37.5201630106531","127.130811990731","online_board","official_lost_board","campus_wide","입시학생팀 또는 게시글별 보관 부서 확인 필요","확인 필요","unknown","yes","https://www.knsu.ac.kr/knsu/unilife/lost-and-found.do","official_university_board","https://www.knsu.ac.kr/knsu/unilife/lost-and-found.do","official_board_verified","2026-08-05","70","non_partner","공식 분실물/습득물 게시판과 부서 전화번호 페이지 확인. 게시글별 보관 부서가 달라 대표 수령처는 전화 확인 필요."
"hansung_global_onestop_lost","한성대학교 글로벌원스톱센터 유실물관리","한성대학교","02-760-8000","서울 성북구 삼선교로16길 116","37.582766988500595","127.01022894833822","primary","university_onestop_lost_center","campus_wide","상상관 1층 글로벌원스톱센터","확인 필요","yes","yes","https://www.hansung.ac.kr/hansung/6316/subview.do","official_university_board","https://www.hansung.ac.kr/hansung/6316/subview.do","official_verified","2026-08-05","100","non_partner","공식 습득물 게시판에서 모든 유실물을 글로벌원스톱센터로 이관·관리한다고 확인. 센터 전화는 공식 학생증/증명서 페이지의 글로벌원스톱센터 문의 번호 기준."
"hanyang_student_support_candidate","한양대학교 학생지원팀","한양대학교","02-2220-0085","서울 성동구 왕십리로 222","37.5575790343428","127.04421582625","candidate_needs_call","student_support_office","campus_wide_candidate","학생회관 2층","확인 필요","unknown","yes","https://www.hanyang.ac.kr/-73","official_university_page","https://www.hanyang.ac.kr/-73","needs_phone_verification","2026-08-05","55","non_partner","공식 업무별 담당 부서 안내에서 학생지원팀 위치·전화 확인. 분실물 일반 보관처라는 문구는 확인되지 않아 전화 확인 필요."
"hanyang_social_science_lost_board","한양대학교 사회과학대학 습득물 검색","한양대학교","02-2220-0815","서울 성동구 왕십리로 222","37.5574167101424","127.044600529852","official_local","college_lost_found_board","social_science_college","사회과학관","확인 필요","unknown","yes","https://social.hanyang.ac.kr/습득물-검색","official_college_page","https://social.hanyang.ac.kr/습득물-검색","official_local_verified","2026-08-05","80","non_partner","사회과학대학 공식 페이지에 습득물 검색 메뉴와 분실물 보관/수령 안내 게시가 확인됨. 대학 전체 대표 센터는 아님."
"hanyang_public_wangsimni_station_lost","서울교통공사 5,8호선 왕십리역유실물센터","한양대학교","02-6311-6765","서울 성동구 왕십리로 지하 300","37.5612162476246","127.036648358303","public_fallback","transit_lost_center","near_campus_transit","왕십리역","확인 필요","yes","yes","http://place.map.kakao.com/1316730772","kakao_local_api","http://place.map.kakao.com/1316730772","fallback_candidate","2026-08-05","75","non_partner","학교 내부 보관처가 아니라 교통시설 유실물 fallback. 왕십리역·지하철 이용 중 분실 시 안내용."
"hongik_library_reading_team_candidate","홍익대학교 중앙도서관 열람팀","홍익대학교","02-320-1305; 02-320-1310; 02-320-1315; 02-320-3301; 02-320-3302; 02-320-3305","서울 마포구 와우산로 94","37.5512611893318","126.926713037278","candidate_needs_call","library_service_desk","library_only_candidate","중앙도서관","09:00~17:30, 동절기 09:00~17:00, 방학 단축근무 확인됨","unknown","yes","https://www.hongik.ac.kr/kr/introduction/subsidiary.do?articleNo=79411&mode=view&title=열람팀","official_university_page","https://www.hongik.ac.kr/kr/introduction/subsidiary.do?articleNo=79411&mode=view&title=열람팀","needs_phone_verification","2026-08-05","55","non_partner","공식 페이지에서 중앙도서관 열람팀 위치·전화·운영시간 확인. 분실물 보관 업무는 명시되지 않아 도서관 내부 분실물 처리 여부 전화 확인 필요."
